"trait","qtl_id","effect"
"Aux_Bud","chr1_22",-0.993074251595463
"Aux_Bud","chr2_49",-1.49052824167209
"Aux_Bud","chr5_53",-0.678847144826606
"Aux_Bud","chr2_14",-0.139774875029427
"Aux_Bud","chr5_52",-0.547039964238555
"Aux_Bud","chr2_9",-0.44372494486485
"Aux_Bud","chr4_56",-1.22725121707896
"Aux_Bud","chr2_23",-0.300287818783927
"SUC","chr3_20",0.415218553250558
"SUC","chr3_43",1.90894340374576
"SUC","chr1_40",-2.22084960084612
"SUC","chr4_8",0.718020081225242
"SUC","chr1_41",0.265632839281601
"SUC","chr5_1",-0.500083159647941
"SUC","chr4_46",-1.05092480381791
"SUC","chr4_33",-0.448177100868476
"SUC","chr1_37",0.687684464745064
"SUC","chr1_24",1.27393168608714
"GA","chr3_17",0.31782192053754
"GA","chr4_9",1.23119103724944
"GA","chr4_1",0.737471350423948
"GA","chr3_48",2.57797205565006
"GA","chr5_56",1.54660307045961
"GA","chr3_56",-0.745078887280851
"GA","chr5_50",0.407417292753596
"GA","chr3_60",1.74203190191816
"GA","chr2_8",0.058135175657441
"GA","chr1_51",0.602955891703253
"Decap_signal","chr5_21",-0.157745800394046
"Decap_signal","chr3_8",-0.563924650947968
"Decap_signal","chr5_23",-0.70011951494515
"Decap_signal","chr5_28",-0.363824491881514
"Decap_signal","chr4_13",-0.188609594810097
"Decap_signal","chr2_41",-1.32712454673857
"Decap_signal","chr1_7",0.46512368644434
"Decap_signal","chr4_5",1.68287736867268
"Decap_signal","chr1_60",0.802188841477642
"Decap_signal","chr3_9",0.906258817981095
"CXE","chr3_36",1.00800439741985
"CXE","chr3_34",1.00435431867191
"CXE","chr4_53",1.17892287642824
"CXE","chr4_39",0.293972293954749
"CXE","chr3_6",0.867194694900695
"CXE","chr1_6",-1.25768691132078
"CXE","chr5_24",-1.11596785916986
"CXE","chr3_1",1.67503952972489
"CXE","chr3_24",-0.963187439086253
"CXE","chr5_40",1.38173040679235
"SMXL6_7_8","chr2_51",1.90484977276825
"SMXL6_7_8","chr2_29",0.937199485784194
"SMXL6_7_8","chr5_30",-0.194908673466224
"SMXL6_7_8","chr2_57",0.997059918611378
"SMXL6_7_8","chr4_43",1.7384741516967
"SMXL6_7_8","chr2_52",1.41878255163991
"SMXL6_7_8","chr5_60",-0.491740302542723
"SMXL6_7_8","chr4_23",0.998045561716115
"SMXL6_7_8","chr5_36",-0.28658252745321
"SMXL6_7_8","chr5_18",-0.0912680135368005
"FHY3_FAR1","chr5_49",1.67601218526216
"FHY3_FAR1","chr4_18",1.15718171989735
"FHY3_FAR1","chr4_41",0.835279918081005
"FHY3_FAR1","chr4_55",1.42826336163615
"FHY3_FAR1","chr1_9",0.395418858545016
"FHY3_FAR1","chr4_54",-0.791657338986474
"FHY3_FAR1","chr2_46",0.829533088205752
"FHY3_FAR1","chr4_4",-0.299964384033689
"FHY3_FAR1","chr5_25",0.0548340132800924
"FHY3_FAR1","chr1_50",0.750332831719415
"SPL9_15","chr3_32",-0.79107876056864
"SPL9_15","chr2_31",1.50685566069148
"SPL9_15","chr2_13",-0.530183778167668
"SPL9_15","chr5_33",0.246591850405571
"SPL9_15","chr5_6",0.186806754765366
"SPL9_15","chr3_42",1.29534172193923
"SPL9_15","chr4_59",1.34963417636715
"SPL9_15","chr3_50",-1.81990588514336
"SPL9_15","chr2_15",-1.01295979341495
"SPL9_15","chr5_57",0.775807998416771
"MAX2","chr5_5",-0.24467298731934
"MAX2","chr5_8",-0.762831161048808
"MAX2","chr1_33",1.1871287321985
"MAX2","chr3_21",0.568734134912745
"MAX2","chr1_5",0.251590776255905
"MAX2","chr5_51",-1.33675054582999
"MAX2","chr2_3",-1.15238747389118
"MAX2","chr1_53",2.4543256127464
"MAX2","chr5_7",0.186996313922946
"MAX2","chr1_56",-0.439316370222262
"D14","chr5_20",-0.0591246385938719
"D14","chr4_51",2.32188828139138
"D14","chr3_54",0.645287500580222
"D14","chr3_11",0.321704216369111
"D14","chr4_45",-1.05859808334801
"D14","chr4_42",-1.85777681161234
"D14","chr3_5",0.281617704653741
"D14","chr2_22",-0.269688031554092
"D14","chr5_22",0.629234063887529
"D14","chr1_29",-2.04917528186492
"D27","chr5_27",0.386517306618814
"D27","chr3_10",0.938855914363138
"D27","chr1_17",0.961426893529067
"D27","chr1_54",-1.29415356993664
"D27","chr4_37",0.198758531716499
"D27","chr4_27",1.3948937975507
"D27","chr2_59",-0.444353901254567
"D27","chr3_28",-0.346781807965659
"D27","chr1_11",-1.33948910284475
"D27","chr3_45",0.324835249997369
"MAX3","chr4_32",0.3453442934253
"MAX3","chr5_2",1.08821261645106
"MAX3","chr1_46",-1.08509699466861
"MAX3","chr4_3",1.15095667505328
"MAX3","chr2_42",-1.23199748444062
"MAX3","chr1_14",1.34288716010789
"MAX3","chr5_4",-0.970189149757186
"MAX3","chr4_7",1.90682748278413
"MAX3","chr4_34",0.337009755876549
"MAX3","chr4_50",-1.3898744374285
"MAX4","chr4_35",-0.429801608861058
"MAX4","chr5_38",-0.0442773528737216
"MAX4","chr3_41",-0.283681247189625
"MAX4","chr5_37",-0.0520081219376505
"MAX4","chr1_18",-1.08933542581062
"MAX4","chr5_58",-0.570362015771349
"MAX4","chr3_3",1.10499308293495
"MAX4","chr5_14",1.25521940337981
"MAX4","chr3_14",-1.48908546205502
"MAX4","chr3_53",1.34735769409542
"MAX1","chr2_40",0.0748210623238334
"MAX1","chr2_50",-1.61243163767602
"MAX1","chr2_20",0.491910572628161
"MAX1","chr3_7",0.151558109368864
"MAX1","chr3_31",0.518024851839555
"MAX1","chr2_56",-0.476891642374128
"MAX1","chr1_19",0.135086532243934
"MAX1","chr4_19",0.140868122047312
"MAX1","chr5_34",0.648365091169541
"MAX1","chr3_18",0.282464438612793
"LBO","chr3_37",-0.000110044304333314
"LBO","chr2_55",-0.880668080708856
"LBO","chr2_38",-2.3269645387728
"LBO","chr1_3",1.19825806766295
"LBO","chr5_19",-0.483292256642538
"LBO","chr4_25",0.508773386562435
"LBO","chr2_5",0.25424759363507
"LBO","chr4_12",-1.29601095316028
"LBO","chr2_35",0.502340953416892
"LBO","chr2_10",1.04962023256822
"CLAMT","chr5_46",-0.242645945222002
"CLAMT","chr1_34",-1.43894976606059
"CLAMT","chr3_40",-0.902943144631255
"CLAMT","chr1_2",0.861272584264786
"CLAMT","chr2_36",-0.8210071585087
"CLAMT","chr1_44",-1.46895888062289
"CLAMT","chr3_38",0.179412651127213
"CLAMT","chr2_32",0.142519814105196
"CLAMT","chr4_30",-1.05600040066258
"CLAMT","chr3_26",-1.22746821346457
"PhyB","chr4_36",-0.641345530050358
"PhyB","chr1_36",0.225016831744195
"PhyB","chr4_21",0.314861120316534
"PhyB","chr2_25",-0.295891408680233
"PhyB","chr5_17",-1.66437132371576
"PhyB","chr4_22",1.81039414933973
"PhyB","chr5_11",0.95521567488034
"PhyB","chr5_3",-0.896480772848213
"PhyB","chr4_48",-1.21362145998072
"PhyB","chr1_45",0.502920564439871
"PIFs","chr1_39",0.891161376030271
"PIFs","chr4_24",-0.454294377210782
"PIFs","chr4_40",0.287811021535662
"PIFs","chr1_35",-0.259692304268118
"PIFs","chr4_2",0.475885496485016
"PIFs","chr2_17",-0.216559737437037
"PIFs","chr2_7",0.108060157301443
"PIFs","chr4_11",-1.14071003846424
"PIFs","chr1_28",0.290905969949697
"PIFs","chr4_14",0.125749376938593
"HB21_40_53","chr2_33",-1.25186140265252
"HB21_40_53","chr2_43",-0.777477303793178
"HB21_40_53","chr1_49",-1.81928341635121
"HB21_40_53","chr1_23",-1.48348021424936
"HB21_40_53","chr3_16",-0.911187251208202
"HB21_40_53","chr5_29",-1.40439825311714
"HB21_40_53","chr2_2",-0.515305655934108
"HB21_40_53","chr2_24",0.689149029606774
"HB21_40_53","chr1_48",-0.0964205333506075
"HB21_40_53","chr5_35",0.160326279273904
"NCED3","chr3_47",-0.332062379834266
"NCED3","chr3_29",0.181780983149678
"NCED3","chr1_21",1.82235796864197
"NCED3","chr1_32",-0.723703495238753
"NCED3","chr2_26",0.86263781965938
"NCED3","chr1_43",1.58178392214879
"NCED3","chr2_12",1.36278798610958
"NCED3","chr1_42",-0.449333159555384
"NCED3","chr5_32",1.03483053291203
"NCED3","chr5_42",-0.8436142307476
